date,daily_return,equity_multiple
2025-06-10,0.0040185905,7.2618445822
2025-06-11,-0.0025549370,7.2432910270
2025-06-12,0.0025855984,7.2620192689
2025-06-13,0.0071147666,7.3136868410
2025-06-14,-0.0052684654,7.2751549349
2025-06-15,0.0038128419,7.3028939505
2025-06-16,0.0026584861,7.3223085929
2025-06-17,-0.0052362137,7.2839674203
2025-06-18,-0.0032351465,7.2604027186
2025-06-19,-0.0003867793,7.2575945450
2025-06-20,0.0039295268,7.2861134576
2025-06-21,0.0034905268,7.3115458322
2025-06-22,-0.0009639148,7.3044981249
2025-06-23,0.0054480316,7.3442932617
2025-06-24,-0.0004122589,7.3412655116
2025-06-25,0.0025083707,7.3596801272
2025-06-26,0.0035946162,7.3861353523
2025-06-27,-0.0034007287,7.3610171096
2025-06-28,0.0014566258,7.3717393571
2025-06-29,0.0022015605,7.3879686871
2025-06-30,-0.0070463227,7.3359106756
2025-07-01,-0.0004113753,7.3328928632
2025-07-02,0.0102123013,7.4077785744
2025-07-03,0.0006856720,7.4128578808
2025-07-04,-0.0026175095,7.3934546551
2025-07-05,0.0007213348,7.3987878112
2025-07-06,0.0005731180,7.4030281898
2025-07-07,-0.0037188492,7.3754974439
2025-07-08,-0.0072955371,7.3216892284
2025-07-09,-0.0058010022,7.2792160933
2025-07-10,-0.0055431648,7.2388661991
2025-07-11,-0.0029555228,7.2174715647
2025-07-12,-0.0041647180,7.1874128312
2025-07-13,-0.0035875916,7.1616273294
2025-07-14,-0.0005249809,7.1578676120
2025-07-15,0.0059292888,7.2003086761
2025-07-16,0.0130773522,7.2944696489
2025-07-17,-0.0381359167,7.0162883621
2025-07-18,0.0001178670,7.0171153508
2025-07-19,-0.0022295317,7.0014704699
2025-07-20,0.0132919494,7.0945336611
2025-07-21,-0.0054838849,7.0556280554
2025-07-22,-0.0044360504,7.0243289340
2025-07-23,0.0092658767,7.0894155001
2025-07-24,0.0064215054,7.1349402198
2025-07-25,0.0105351690,7.2101080205
2025-07-26,0.0036966500,7.2367612665
2025-07-27,0.0212691131,7.3906807606
2025-07-28,-0.0014032649,7.3803096775
2025-07-29,-0.0009068821,7.3736166066
2025-07-30,-0.0030342658,7.3512430940
2025-07-31,-0.0016835873,7.3388666348
2025-08-01,-0.0062941025,7.2926750559
2025-08-02,-0.0005164490,7.2889087613
2025-08-03,-0.0024665943,7.2709299809
2025-08-04,0.0008732381,7.2772792342
2025-08-05,0.0031947979,7.3005286705
2025-08-06,0.0038865090,7.3289022406
2025-08-07,-0.0044958909,7.2959522957
2025-08-08,-0.0083465786,7.2350560567
2025-08-09,-0.0004457956,7.2318307008
2025-08-10,0.0115355893,7.3152541293
2025-08-11,0.0020025413,7.3299032281
2025-08-12,-0.0042226316,7.2989517470
2025-08-13,0.0073310253,7.3524605469
2025-08-14,0.0158876405,7.4692737966
2025-08-15,0.0009999740,7.4767428762
2025-08-16,0.0024902600,7.4953619102
2025-08-17,-0.0072439417,7.4410659459
2025-08-18,-0.0027724467,7.4204359873
2025-08-19,0.0028979051,7.4419397069
2025-08-20,-0.0024978441,7.4233509015
2025-08-21,-0.0019146385,7.4091378684
2025-08-22,-0.0010146100,7.4016204830
2025-08-23,-0.0183467508,7.2658247968
2025-08-24,0.0003528587,7.2683886064
2025-08-25,0.0028193284,7.2888805808
2025-08-26,-0.0005068953,7.2851858817
2025-08-27,-0.0057387192,7.2433782456
2025-08-28,-0.0037971889,7.2158737702
2025-08-29,0.0075675668,7.2704803772
2025-08-30,-0.0002020019,7.2690117267
2025-08-31,0.0041040243,7.2988439277
2025-09-01,-0.0039928261,7.2697009132
2025-09-02,-0.0026226892,7.2506347468
2025-09-03,0.0062877975,7.2962252700
2025-09-04,-0.0006507549,7.2914772154
2025-09-05,-0.0030702840,7.2690903093
2025-09-06,0.0029239484,7.2903447541
2025-09-07,0.0003839421,7.2931438247
2025-09-08,-0.0062371585,7.2476553304
2025-09-09,-0.0036979228,7.2208540606
2025-09-10,-0.0122162334,7.1326424217
2025-09-11,0.0017321383,7.1449971452
2025-09-12,0.0083586738,7.2047198455
2025-09-13,-0.0057941895,7.1629743335
2025-09-14,0.0102632914,7.2364900263
2025-09-15,0.0101248099,7.3097581119
2025-09-16,-0.0008300366,7.3036907452
2025-09-17,0.0066781218,7.3524656812
2025-09-18,-0.0021564173,7.3366106973
2025-09-19,-0.0051011584,7.2991854838
2025-09-20,-0.0111865564,7.2175327339
2025-09-21,0.0007510671,7.2229535853
2025-09-22,0.0043948658,7.2546974967
2025-09-23,0.0003929779,7.2575484324
2025-09-24,-0.0031505010,7.2346835185
2025-09-25,0.0013390801,7.2443713390
2025-09-26,0.0002155158,7.2459326158
2025-09-27,0.0045983368,7.2792518548
2025-09-28,0.0026054150,7.2982173265
2025-09-29,0.0155068490,7.4113896806
2025-09-30,-0.0027565552,7.3909597760
2025-10-01,0.0093409847,7.4599986185
2025-10-02,0.0097426101,7.5326784765
2025-10-03,0.0188872999,7.6749504338
2025-10-04,0.0059443542,7.7205730577
2025-10-05,0.0021637277,7.7372782758
2025-10-06,-0.0017709130,7.7235762292
2025-10-07,0.0108486630,7.8073667050
2025-10-08,0.0027063185,7.8284959257
2025-10-09,0.0020600477,7.8446230007
